verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
mostly-false,Barack Obama,"""We flood communities with so many guns that it is easier for a teenager to buy a Glock than get his hands on a computer or even a book.""",7/12/2016,speech,Louis Jacobson,7/14/2016,https://www.politifact.com/factchecks/2016/jul/14/barack-obama/barack-obama-offers-flawed-comparison-between-teen/
mostly-false,Marco Rubio,"Says President Barack Obama could ""basically"" legalize all immigrants here illegally ""by the sign of a pen.""",8/13/2013,radio,Katie Sanders,8/22/2013,https://www.politifact.com/factchecks/2013/aug/22/marco-rubio/marco-rubio-fears-obama-could-basically-legalize-a/
FALSE,Donald Trump,"""Hillary Clinton lied many times to the FBI.""",12/4/2017,news,Miriam Valverde,12/5/2017,https://www.politifact.com/factchecks/2017/dec/05/donald-trump/donald-trump-falsely-claims-hillary-clinton-lied-f/
pants-fire,John McCain,"""I never considered myself a maverick.""",4/3/2010,news,Louis Jacobson,4/6/2010,https://www.politifact.com/factchecks/2010/apr/06/john-mccain/mccains-ultimate-maverick-move-denial/
FALSE,Donald Trump,"Says that in the 2020 presidential election in Maricopa County, Ariz., ""74,243 mail-in ballots were counted with 'no clear record of them being sent.'""",7/15/2021,statement,Tom Kertscher,7/19/2021,https://www.politifact.com/factchecks/2021/jul/19/donald-trump/no-evidence-74000-ariz-mail-ballots-cast-2020-elec/
TRUE,Andrew Cuomo,"""There is nothing that we have done on Amazon that we have not done with hundreds of other projects.""",11/19/2018,radio,Jill Terreri Ramos,12/7/2018,https://www.politifact.com/factchecks/2018/dec/07/andrew-cuomo/cuomo-said-treatment-amazon-no-different/
mostly-false,John McCain,"Obama ""has voted in the United States Senate to increase taxes on people who make as low as $42,000 a year.""",9/26/2008,other,Angie Drobnic Holan,9/26/2008,https://www.politifact.com/factchecks/2008/sep/26/john-mccain/mccain-repeats-questionable-tax-claim/
mostly-true,Barack Obama,"His proposed budget would ""cut our deficit in half by the end of my first term.""",3/24/2009,news,Robert Farley,3/25/2009,https://www.politifact.com/factchecks/2009/mar/25/barack-obama/obama-promises-cut-deficit-half-four-years/
mostly-true,Donald Trump,"""Iraq has the second-largest oilfields in the world (behind) Saudi Arabia.""",4/14/2011,news,Louis Jacobson,4/25/2011,https://www.politifact.com/factchecks/2011/apr/25/donald-trump/donald-trump-says-iraq-has-second-biggest-oilfield/
FALSE,Lindsey Graham,"""The CBO says (the Build Back Better Act) is $3 trillion of deficit spending.""",12/12/2021,news,Jon Greenberg,12/14/2021,https://www.politifact.com/factchecks/2021/dec/14/lindsey-graham/sen-grahams-false-claim-about-build-back-better-ad/
FALSE,Barack Obama,"""If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars.""",8/20/2009,meeting,Louis Jacobson,8/24/2009,https://www.politifact.com/factchecks/2009/aug/24/barack-obama/obama-says-lower-obesity-rates-would-save-medicare/
TRUE,Bernie Sanders,"""You've got millions of families paying 40, 50, 60% of their limited incomes to put a roof over their heads.""",4/22/2019,television,Yanqi Xu,5/2/2019,https://www.politifact.com/factchecks/2019/may/02/bernie-sanders/yes-millions-families-spend-bulk-income-housing/
mostly-true,Barack Obama,"""The vast majority of marketplace enrollees have experienced no average premium hike at all.""",3/23/2017,statement,Jon Greenberg,3/23/2017,https://www.politifact.com/factchecks/2017/mar/23/barack-obama/obama-no-premium-hike-vast-majority-covered-govern/
mostly-false,Donald Trump,"""We were losing all our cases in the World Trade Organization. ... And then I came along. Now we’re winning a lot of cases because they know that they’re not on very solid ground.""",8/13/2019,speech,Louis Jacobson,8/16/2019,https://www.politifact.com/factchecks/2019/aug/16/donald-trump/did-donald-trump-turn-around-us-record-wto/
mostly-false,Bernie Sanders,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton ""had one line on the Palestinian people.""",4/17/2016,news,Louis Jacobson,4/20/2016,https://www.politifact.com/factchecks/2016/apr/20/bernie-sanders/bernie-sanders-says-hillary-clinton-had-one-line-p/
mostly-true,Barack Obama,"""Fewer black and Latino men participate in the labor force, compared to young white men.""",2/27/2014,other,Louis Jacobson,2/28/2014,https://www.politifact.com/factchecks/2014/feb/28/barack-obama/barack-obama-says-fewer-black-latino-young-men-par/
FALSE,Marco Rubio,"The Obama administration’s 2013 Syria proposal ""had no clear objective,"" while Trump’s Syria strike ""had a clear strategic objective.""",4/9/2017,news,Lauren Carroll,4/12/2017,https://www.politifact.com/factchecks/2017/apr/12/marco-rubio/trumps-strikes-syria-look-lot-obamas-2013-proposal/
half-true,Barack Obama,"""If you like your health care plan, you can keep your health care plan.""",8/11/2009,speech,Angie Drobnic Holan,8/11/2009,https://www.politifact.com/factchecks/2009/aug/11/barack-obama/barack-obama-promises-you-can-keep-your-health-ins/
mostly-true,Marco Rubio,"""I have never supported cap and trade.""",1/28/2016,news,Joshua Gillin,1/29/2016,https://www.politifact.com/factchecks/2016/jan/29/marco-rubio/rubio-says-he-has-never-supported-cap-and-trade-de/
pants-fire,Alexandria Ocasio-Cortez,"""Unemployment is low because everyone has two jobs. Unemployment is low because people are working 60, 70, 80 hours a week and can barely feed their family.""",7/13/2018,news,Louis Jacobson,7/18/2018,https://www.politifact.com/factchecks/2018/jul/18/alexandria-ocasio-cortez/alexandria-ocasio-cortez-wrong-several-counts-abou/
mostly-false,Donald Trump,"""Joe Biden wants to end school choice.""",7/14/2020,news,Jon Greenberg,7/17/2020,https://www.politifact.com/factchecks/2020/jul/17/donald-trump/donald-trump-falsely-claims-biden-wants-end-school/
mostly-true,Greg Abbott,Says 85 percent of IDEA charter-school students come from low-income families and about 99 percent of its graduates go to college.,12/12/2013,other,W. Gardner Selby,2/5/2014,https://www.politifact.com/factchecks/2014/feb/05/greg-abbott/idea-schools-serving-many-disadvantaged-background/
FALSE,Donald Trump,"The Obama administration ""didn't do anything about"" swine flu.",3/4/2020,news,Tom Kertscher,3/6/2020,https://www.politifact.com/factchecks/2020/mar/06/donald-trump/donald-trump-wrong-saying-barack-obama-did-nothing/
FALSE,Barack Obama,"""Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.""",11/15/2007,other,David DeCamp,11/16/2007,https://www.politifact.com/factchecks/2007/nov/16/barack-obama/lightning-strikes-but-not-like-the-feds/
mostly-false,Donald Trump,Says the unemployment rate for African-American youths is 59 percent.,6/10/2016,speech,Warren Fiske,6/20/2016,https://www.politifact.com/factchecks/2016/jun/20/donald-trump/trump-misleadingly-puts-black-youth-unemployment-r/
half-true,Joe Biden,"Says President Donald Trump started a trade war that ""led to a surge in farm bankruptcies.""",9/21/2020,speech,Eric Litke,10/2/2020,https://www.politifact.com/factchecks/2020/oct/02/joe-biden/trade-wars-hit-farmers-hard-biden-attack-trump-ove/
mostly-true,Joe Biden,"""I am not banning fracking.""",8/31/2020,speech,Jessica Calefati,9/1/2020,https://www.politifact.com/factchecks/2020/sep/01/joe-biden/fact-checkin-joe-biden-pa-his-fracking-policy/
FALSE,Kamala Harris,"Says handing over arrested undocumented youth to ICE ""was an unintended consequence"" of a 2008 San Francisco policy that she supported.",2/24/2019,other,Chris Nichols,2/28/2019,https://www.politifact.com/factchecks/2019/feb/28/kamala-harris/kamala-harris-tries-rewrite-history-false-claim-sa/
mostly-false,Nancy Pelosi,"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",12/8/2017,statement,Louis Jacobson,12/12/2017,https://www.politifact.com/factchecks/2017/dec/12/nancy-pelosi/have-wages-failed-go-donald-trumps-watch/
mostly-false,Barack Obama,"""We're also cutting a Forest Service economic development program that strayed so far from any mission that it funded a music festival.""",2/1/2010,speech,Robert Farley,2/4/2010,https://www.politifact.com/factchecks/2010/feb/04/barack-obama/obama-proposed-axe-budget-forest-service-program-v/
FALSE,Donald Trump,"""Puerto Rico got 91 Billion Dollars for the hurricane, more money than has ever been gotten for a hurricane before.""",4/2/2019,social_media,Amy Sherman,4/3/2019,https://www.politifact.com/factchecks/2019/apr/03/donald-trump/trumps-false-tweet-puerto-rico-got-91-billion-hurr/
pants-fire,Donald Trump,"""I didn’t say that"" some of the medical equipment that governors are requesting, they don't actually need.",3/29/2020,news,Louis Jacobson,3/30/2020,https://www.politifact.com/factchecks/2020/mar/30/donald-trump/reporter-was-right-trump-did-question/
mostly-false,Donald Trump,"""The cost-sharing reductions (were) a gift (that) they gave the insurance companies.""",10/16/2017,meeting,Jon Greenberg,10/18/2017,https://www.politifact.com/factchecks/2017/oct/18/donald-trump/trump-mislabels-obamacare-subsidy-gift-insurers/
mostly-true,Donald Trump,"Says Hillary Clinton ""promised, running for the Senate years ago, 200,000 jobs for upstate New York. ... Not only didn't they come, but they lost so many jobs.""",9/27/2016,campaign,Linda Qiu,10/7/2016,https://www.politifact.com/factchecks/2016/oct/07/donald-trump/trump-clinton-promised-add-200k-jobs-upstate-new-y/
FALSE,Donald Trump,"The Senate seat won in a special election by a Democrat had been ""held for more than thirty years by Republicans.""",1/3/2018,statement,Louis Jacobson,1/3/2018,https://www.politifact.com/factchecks/2018/jan/03/donald-trump/donald-trump-wrong-about-length-time-gop-held-alab/
FALSE,Barack Obama,"Mitt Romney ""says the Arizona immigration law should be a model for the nation.""",7/17/2012,speech,W. Gardner Selby,7/17/2012,https://www.politifact.com/factchecks/2012/jul/17/barack-obama/barack-obama-says-mitt-romney-calls-arizona-immigr/
mostly-true,Nancy Pelosi,"The Democrats' health care bills would end ""the denial of ... coverage to those who have a pre-existing condition,"" while the Republican bill would not.",2/28/2010,news,Louis Jacobson,3/3/2010,https://www.politifact.com/factchecks/2010/mar/03/nancy-pelosi/pelosi-says-democrats-tackle-preexisting-condition/
FALSE,Donald Trump,"""14 percent of noncitizens are registered to vote.""",10/22/2016,speech,Allison Graves,10/24/2016,https://www.politifact.com/factchecks/2016/oct/24/donald-trump/donald-trump-wrongly-says-14-percent-noncitizens-a/
TRUE,Ted Cruz,"""I earned more votes in the state of Wisconsin than Donald Trump did in New York.""",4/25/2016,speech,Louis Jacobson,4/25/2016,https://www.politifact.com/factchecks/2016/apr/25/ted-cruz/ted-cruz-says-he-won-more-votes-wisconsin-donald-t/
half-true,Donald Trump,"""I’ve had tremendous Republican support. I have a 90% — 94% approval rating, as of this morning, in the Republican Party. That’s an all-time record.""",6/4/2019,news,Jon Greenberg,6/6/2019,https://www.politifact.com/factchecks/2019/jun/06/donald-trump/donald-trump-says-republican-voters-him-more-they-/
mostly-true,Bernie Sanders,"""The Machinists Union does not (support the USMCA trade deal). And every environmental organization in this country (also) opposes it.""",1/14/2020,speech,Rylee Wilson,1/22/2020,https://www.politifact.com/factchecks/2020/jan/22/bernie-sanders/major-environmental-groups-opposed-new-usmca-trade/
mostly-false,Donald Trump,"""Many of (Hillary Clinton's) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.""",10/9/2016,speech,Rachel Tiede,10/18/2016,https://www.politifact.com/factchecks/2016/oct/18/donald-trump/trump-base-buffett-soros-deductions/
FALSE,Mike Pence,"""State Department officials actually directed contracts for the Haitian recovery after the earthquake to friends of the Clintons.""",10/16/2016,news,Jon Greenberg,10/19/2016,https://www.politifact.com/factchecks/2016/oct/19/mike-pence/pence-wrong-haiti-contracts-steered-clinton-friend/
FALSE,Donald Trump,"The five Guantanamo detainees swapped for Bowe Bergdahl ""are right now back on the battlefield.""",7/21/2015,campaign,Lauren Carroll,7/23/2015,https://www.politifact.com/factchecks/2015/jul/23/donald-trump/trump-guantanamo-prisoners-swapped-bowe-bergdahl-a/
mostly-false,Greg Abbott,"Wendy Davis is ""threatening to raise taxes up to $35 billion.""",10/18/2013,social_media,W. Gardner Selby,10/25/2013,https://www.politifact.com/factchecks/2013/oct/25/greg-abbott/davis-has-not-threatened-tax-hikes-favors-careful-/
TRUE,Barack Obama,"Washing your hands and covering your mouth when you cough ""makes a huge difference"" in reducing transmission of the flu.",4/29/2009,news,Angie Drobnic Holan,4/30/2009,https://www.politifact.com/factchecks/2009/apr/30/barack-obama/studies-show-hand-washing-reduces-disease/
mostly-true,Barack Obama,"Says Mitt Romney and Paul Ryan ""want to turn Medicare into a voucher system.""",8/15/2012,campaign,Louis Jacobson,8/16/2012,https://www.politifact.com/factchecks/2012/aug/16/barack-obama/does-paul-ryan-want-turn-medicare-voucher-program/
mostly-true,Barack Obama,"""In the last few months alone, we have apprehended extremists within our borders who were sent here from the border region of Afghanistan and Pakistan to commit new acts of terror.""",12/1/2009,speech,Angie Drobnic Holan,12/3/2009,https://www.politifact.com/factchecks/2009/dec/03/barack-obama/obama-says-extremists-sent-us-afghanistan-pakistan/
half-true,Bernie Sanders,"The United States has ""the highest rate of childhood poverty of almost any major country on Earth.""",2/11/2016,speech,C. Eugene Emery Jr.,2/12/2016,https://www.politifact.com/factchecks/2016/feb/12/bernie-sanders/comparing-us-world-childhood-poverty-rates/
TRUE,Gavin Newsom,"""More than a million Californians"" do not have ""clean water to bathe in or drink.""",2/12/2019,speech,Chris Nichols,2/14/2019,https://www.politifact.com/factchecks/2019/feb/14/gavin-newsom/true-more-million-californians-dont-have-clean-dri/
FALSE,Joe Biden,"Gun manufacturers are ""the only industry in the country"" that have immunity from lawsuits.",6/2/2022,speech,Samantha Putterman,6/8/2022,https://www.politifact.com/factchecks/2022/jun/08/joe-biden/biden-wrong-claim-about-gun-manufacturers-and-liab/
mostly-true,Barack Obama,"""Right now, American oil production is the highest that it’s been in eight years.""",1/24/2012,speech,Louis Jacobson,1/24/2012,https://www.politifact.com/factchecks/2012/jan/25/barack-obama/barack-obama-says-us-oil-production-eight-year-hig/
mostly-true,Donald Trump,"Russia and China are ""doing naval exercises together someplace.""",8/1/2016,speech,Nadia Pflaum,8/4/2016,https://www.politifact.com/factchecks/2016/aug/04/donald-trump/trump-china-and-russia-doing-naval-exercises-toget/
FALSE,Donald Trump,"""The Obama administration was begging for a meeting"" with Kim Jong Un.",6/30/2019,news,Jon Greenberg,7/1/2019,https://www.politifact.com/factchecks/2019/jul/01/donald-trump/trump-wrong-obama-begged-meet-north-koreas-kim-jon/
TRUE,Elizabeth Warren,"""Look at the men on this stage. Collectively, they have lost 10 elections. The only people on this stage who have won every single election that they’ve been in are the women, Amy and me.""",1/14/2020,speech,Louis Jacobson,1/14/2020,https://www.politifact.com/factchecks/2020/jan/15/elizabeth-warren/democratic-debates-biggest-electoral-losers-number/
FALSE,Mitch McConnell,"A recent economic uptick appears to ""coincide"" with ""the expectation of a new Republican Congress.""",1/7/2015,speech,Louis Jacobson,1/8/2015,https://www.politifact.com/factchecks/2015/jan/08/mitch-mcconnell/mitch-mcconnell-says-economic-uptick-coincides-exp/
mostly-true,Joe Biden,"""Nationwide tuition at public universities is up almost 300 percent ... in the last 20 years.""",2/6/2012,speech,Amy Sherman,2/9/2012,https://www.politifact.com/factchecks/2012/feb/09/joe-biden/joe-biden-college-tuition-rose-300-percent-over/
mostly-true,Bill Clinton,"""Between 2010 and 2014, there was no net in-migration from Mexico.""",6/17/2015,television,Jon Greenberg,6/22/2015,https://www.politifact.com/factchecks/2015/jun/22/bill-clinton/bill-clinton-zero-net-migration-mexico-2010/
pants-fire,Donald Trump,"Sen. Kamala Harris is ""supporting the animals of MS-13.""",7/2/2018,social_media,Chris Nichols,7/3/2018,https://www.politifact.com/factchecks/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/
mostly-true,Joe Biden,"""Make no mistake: The current spike in gas prices is largely the fault of Vladimir Putin.""",3/14/2022,speech,Louis Jacobson,3/16/2022,https://www.politifact.com/factchecks/2022/mar/16/joe-biden/joe-biden-blame-putin-high-gasoline-prices/
TRUE,Barack Obama,"""Refugees are subject to more rigorous screening than the average tourist in the U.S.""",9/20/2016,speech,Joseph Cariz,10/13/2016,https://www.politifact.com/factchecks/2016/oct/13/barack-obama/refugee-summit-obama-claims-refugees-us-are-screen/
mostly-false,Donald Trump,"""You know what (Saddam Hussein) did well? He killed terrorists.""",7/5/2016,speech,Louis Jacobson,7/7/2016,https://www.politifact.com/factchecks/2016/jul/07/donald-trump/was-saddam-hussein-good-killing-terrorists-donald-/
half-true,Joe Biden,"""I don't own a single stock or bond … I have no savings accounts.""",6/23/2014,other,Lauren Carroll,6/24/2014,https://www.politifact.com/factchecks/2014/jun/24/joe-biden/biden-says-he-has-no-stocks-bonds-or-savings-accou/
half-true,Bernie Sanders,"""We spend about 75 percent of the entire cost of the military aspect of NATO.""",4/14/2016,speech,Jon Greenberg,4/19/2016,https://www.politifact.com/factchecks/2016/apr/19/bernie-sanders/sanders-oversimplifies-us-share-NATO/
half-true,Bernie Sanders,"""Puerto Rico’s $70 billion debt is unsustainable and it is unpayable. And the reason why it is unsustainable has everything to do with the greed of Wall Street vulture funds.""",5/16/2016,speech,Linda Qiu,5/19/2016,https://www.politifact.com/factchecks/2016/may/19/bernie-sanders/bernie-sanders-links-puerto-ricos-debt-crisis-wall/
pants-fire,Donald Trump,"During protests outside the White House, Mayor Muriel Bowser ""wouldn't let the D.C. Police get involved.""",5/30/2020,social_media,Bill McCarthy,6/1/2020,https://www.politifact.com/factchecks/2020/jun/01/donald-trump/trump-falsely-claims-dc-mayor-kept-police-white-ho/
half-true,Barack Obama,"""(After the auto bailout) General Motors is back on top as the world’s No. 1 automaker.""",1/24/2012,speech,Becky Bowers,1/25/2012,https://www.politifact.com/factchecks/2012/jan/25/barack-obama/Barack-Obama-bailout-GM-number-one/
mostly-true,Ted Cruz,"Says David Dewhurst ""explicitly advocated"" a guest worker program for all illegal immigrants.",7/23/2012,speech,Sue Owen,7/26/2012,https://www.politifact.com/factchecks/2012/jul/26/ted-cruz/ted-cruz-says-david-dewhurst-advocated-guest-worke/
FALSE,Donald Trump,"""Today I opened a major Apple Manufacturing plant in Texas that will bring high paying jobs back to America.""",11/20/2019,social_media,Madlin Mekelburg,11/21/2019,https://www.politifact.com/factchecks/2019/nov/21/donald-trump/did-trump-open-apple-plant-austin-no/
mostly-false,Donald Trump,"Says ""Stacey Abrams wants to give illegal aliens the right to vote.""",11/1/2019,speech,Amy Sherman,11/6/2019,https://www.politifact.com/factchecks/2019/nov/06/donald-trump/donald-trump-distorts-stacey-abrams-comments-ab/
mostly-false,Donald Trump,"Says Russian President Vladimir Putin ""calls me brilliant.""",9/7/2016,meeting,Linda Qiu,9/8/2016,https://www.politifact.com/factchecks/2016/sep/08/donald-trump/did-vladimir-putin-call-trump-brilliant/
half-true,Joe Biden,Says Bernie Sanders voted against the auto bailout,3/15/2020,speech,Amy Sherman,3/15/2020,https://www.politifact.com/factchecks/2020/mar/16/joe-biden/joe-biden-gets-bernie-sanders-votes-wrong-auto-bai/
mostly-false,Joe Biden,"""I (found) the Republican votes for the Recovery Act, Obamacare, help us from falling into a Great Depression.""",12/13/2019,speech,Jon Greenberg,12/18/2019,https://www.politifact.com/factchecks/2019/dec/18/joe-biden/joe-biden-says-he-got-republicans-vote-obamacare-a/
mostly-true,Barack Obama,"""The race will tighten, just because that's what happens at the end of campaigns. They always have.""",10/19/2008,news,Alexander Lane,12/1/2008,https://www.politifact.com/factchecks/2008/dec/01/barack-obama/elections-tighten-almost-every-time/
FALSE,Barack Obama,"""We’ve got close to 7 million Americans who have access to health care for the first time because of Medicaid expansion.""",2/20/2014,speech,Louis Jacobson,2/25/2014,https://www.politifact.com/factchecks/2014/feb/25/barack-obama/barack-obama-says-medicaid-expansion-has-brought-h/
FALSE,Donald Trump,"Says CNN’s Chris Cuomo ""never asked"" Sen. Richard Blumenthal about Blumenthal's misstatements on his own service in Vietnam.",2/9/2017,social_media,Jon Greenberg,2/9/2017,https://www.politifact.com/factchecks/2017/feb/09/donald-trump/trump-wrong-sen-blumenthals-cnn-interview-and-viet/
half-true,Barack Obama,"""Unemployment insurance kept more than 620,000 children out of poverty in 2012.""",1/7/2014,social_media,Louis Jacobson,1/13/2014,https://www.politifact.com/factchecks/2014/jan/13/barack-obama/barack-obama-facebook-post-says-unemployment-benef/
half-true,Donald Trump,"""80% of the world’s population lives in countries where religious liberty is in significant danger or even completely outlawed.""",9/24/2019,speech,Jon Greenberg,9/25/2019,https://www.politifact.com/factchecks/2019/sep/25/donald-trump/donald-trumps-flawed-stat-threats-religious-freedo/
FALSE,Donald Trump,"We’ve broken ""by millions"" the all-time record for votes in a GOP presidential primary election.",6/1/2016,campaign,Chris Nichols,6/1/2016,https://www.politifact.com/factchecks/2016/jun/02/donald-trump/no-donald-trump-you-havent-broken-voting-record-mi/
mostly-false,Marco Rubio,"The only budget Ted Cruz ""ever voted for in his time in the Senate is a budget that cut defense spending by more than Barack Obama proposes we cut it.""",12/13/2015,news,Amy Sherman,12/22/2015,https://www.politifact.com/factchecks/2015/dec/22/marco-rubio/marco-rubio-says-ted-cruz-voted-defense-cuts-rand-/
FALSE,Donald Trump,"""An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.""",7/24/2016,social_media,Linda Qiu,7/25/2016,https://www.politifact.com/factchecks/2016/jul/25/donald-trump/no-donald-trump-bernie-sanders-wouldnt-have-won-ev/
mostly-true,Donald Trump,"""Taxpayers are paying a fortune for the use of Air Force One on the campaign trail"" by President Barack Obama and Hillary Clinton.",7/5/2016,social_media,C. Eugene Emery Jr.,7/7/2016,https://www.politifact.com/factchecks/2016/jul/07/donald-trump/donald-trump-isnt-winging-it-complaint-about-air-f/
FALSE,Marco Rubio,"Says his parents ""came to America following Fidel Castro's takeover"" of Cuba.",10/21/2011,blog,Becky Bowers,10/21/2011,https://www.politifact.com/factchecks/2011/oct/21/marco-rubio/sen-marco-rubio-said-his-parents-came-america-foll/
FALSE,Donald Trump,"Says he saw videotape ""of the people taking the money off the plane"" to pay ransom to Iran for hostages.",8/3/2016,speech,Louis Jacobson,8/5/2016,https://www.politifact.com/factchecks/2016/aug/05/donald-trump/donald-trump-says-he-didnt-see-video-cash-being-tr/
mostly-true,Barack Obama,"""The Washington Times ... pointed out that we had succeeded where previous administrations had failed"" on spending cuts.",1/14/2010,speech,Alex Holt,1/20/2010,https://www.politifact.com/factchecks/2010/jan/20/barack-obama/Obama-Washington-Times-budget-cutting/
TRUE,Elizabeth Warren,"""Last year, 36 million Americans didn’t have a prescription filled because they couldn’t afford it.""",12/19/2019,speech,Shefali Luthra,12/20/2019,https://www.politifact.com/factchecks/2019/dec/20/elizabeth-warren/warrens-argument-millions-cant-afford-their-rx-dru/
pants-fire,Donald Trump,"""A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM (in Wisconsin), when they learned he was losing badly. This is unbelievable!""",11/18/2020,social_media,Eric Litke,11/20/2020,https://www.politifact.com/factchecks/2020/nov/20/donald-trump/trump-again-flat-wrong-claims-about-wisconsin-vote/
mostly-true,Mike Pence,"Says Donald Trump ""won more counties than any candidate on our side since Ronald Reagan.""",12/4/2016,news,Louis Jacobson,12/4/2016,https://www.politifact.com/factchecks/2016/dec/04/mike-pence/mike-pence-says-donald-trump-won-most-counties-rep/
mostly-true,Barack Obama,"""Joe Biden wrote the Violence Against Women Act ... the rate of domestic violence went down dramatically.""",8/23/2008,other,Richard Rubin,8/24/2008,https://www.politifact.com/factchecks/2008/aug/24/barack-obama/cause-and-effect-possible-but-not-clear/
mostly-true,Elizabeth Warren,"""One in three people who’s receiving treatment for (opioid) drug problems gets some help from Medicaid to pay for that.""",7/13/2017,social_media,Manuela Tobias,7/18/2017,https://www.politifact.com/factchecks/2017/jul/18/elizabeth-warren/are-third-people-drug-problems-medicaid-elizabeth-/
FALSE,Joe Biden,"""In the United States alone we lose more than 3,000 people a day to cancer.""",4/29/2016,speech,Louis Jacobson,5/9/2016,https://www.politifact.com/factchecks/2016/may/09/joe-biden/joe-biden-misstates-daily-deaths-united-states-can/
half-true,Donald Trump,"""ISIS is in 32 countries.""",10/19/2016,speech,C. Eugene Emery Jr.,10/24/2016,https://www.politifact.com/factchecks/2016/oct/24/donald-trump/context-crucial-defining-how-many-countries-now-ha/
mostly-false,Ted Cruz,"""Two-thirds of the (Hurricane Sandy relief) bill had nothing to do with Sandy.""",8/28/2017,news,Jon Greenberg,8/30/2017,https://www.politifact.com/factchecks/2017/aug/30/ted-cruz/ted-cruzs-mostly-false-claim-two-thirds-sandy-reli/
FALSE,Donald Trump,"In manufacturing, ""I brought back 700,000 jobs. (Obama and Biden) brought back nothing.""",9/29/2020,speech,Louis Jacobson,9/30/2020,https://www.politifact.com/factchecks/2020/sep/30/donald-trump/during-debate-donald-trump-overstates-manufacturin/
FALSE,Bill Clinton,"Obama said that ""since 1992, the Republicans have had all the good ideas...""",1/18/2008,other,Robert Farley,1/21/2008,https://www.politifact.com/factchecks/2008/jan/21/bill-clinton/obama-not-a-reagan-democrat/
mostly-true,John McCain,"""Today Russia holds many of our most precious national security satellites at risk before they ever get off the ground.""",1/27/2016,testimony,Anthony Cave,1/29/2016,https://www.politifact.com/factchecks/2016/jan/30/john-mccain/john-mccain-right-about-american-reliance-russian-/
mostly-false,John McCain,"Sen. Clinton said ""the surge of troops in Iraq was 'working.' Now.... Sen. Clinton says the surge 'has failed' and that we should 'begin the immediate withdrawal of U.S. troops.'""",8/23/2007,news,Wes Allison,8/30/2007,https://www.politifact.com/factchecks/2007/aug/30/john-mccain/mccain-picks-and-chooses-in-attack-on-clinton/
half-true,Nancy Pelosi,"""More private-sector jobs were created in the first eight months of 2010 than in the eight years of the Bush administration.""",10/21/2010,news,Louis Jacobson,10/25/2010,https://www.politifact.com/factchecks/2010/oct/25/nancy-pelosi/nancy-pelosi-says-more-private-sector-jobs-created/
mostly-false,Ted Cruz,"""Barack Obama, right now, No. 1, over seven years has dramatically degraded our military.""",1/28/2016,news,Louis Jacobson,1/28/2016,https://www.politifact.com/factchecks/2016/jan/29/ted-cruz/ted-cruz-says-barack-obama-has-dramatically-degrad/
mostly-false,Donald Trump,"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.""",3/7/2017,social_media,Lauren Carroll,3/7/2017,https://www.politifact.com/factchecks/2017/mar/07/donald-trump/donald-trump-wrongly-blames-barack-obama-former-gu/
mostly-true,Barack Obama,Says he and Mitt Romney agreed on tying minimum wage increases to inflation.,2/12/2013,speech,Molly Moorhead,2/14/2013,https://www.politifact.com/factchecks/2013/feb/14/barack-obama/obama-says-he-and-romney-agreed-indexing-minimum-w/
FALSE,Ted Cruz,"""Expanding Medicaid will worsen health care options for the most vulnerable among us in Texas.""",4/1/2013,speech,Louis Jacobson,4/8/2013,https://www.politifact.com/factchecks/2013/apr/08/ted-cruz/ted-cruz-says-expanding-medicaid-will-worsen-healt/
half-true,Donald Trump,"""During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.""",3/21/2016,speech,Louis Jacobson,3/22/2016,https://www.politifact.com/factchecks/2016/mar/22/donald-trump/donald-trump-says-iran-responsible-terrorist-attac/
half-true,Donald Trump,"""One in three women is sexually assaulted on the dangerous journey north.""",1/19/2019,speech,Miriam Valverde,1/25/2019,https://www.politifact.com/factchecks/2019/jan/25/donald-trump/trump-said-1-3-migrant-women-sexually-assaulted-jo/
mostly-false,Kamala Harris,"""Only one"" Black-owned restaurant in Michigan received a loan through the Paycheck Protection Program",9/22/2020,news,Clara Hendrickson,9/24/2020,https://www.politifact.com/factchecks/2020/sep/24/kamala-harris/harris-highlights-racial-disparities-distribution-/
FALSE,Donald Trump,"As governor, Tim Kaine ""oversaw a huge increase in illegal immigration, a tremendous increase.""",8/20/2016,speech,Sean Gorman,8/29/2016,https://www.politifact.com/factchecks/2016/aug/29/donald-trump/donald-trump-wrong-virginia-say-huge-increase-ille/
